login,order_id,customer_id,MOTT,status,marketplaceid,orderTotalAmountUSD,ictry_cd,bctry_cd,cctry_cd,sctry_cd,emailorg,ipadd,paymeth,gls,isfba,hasprime,seg,fastlane,numitem,issuingbank,fingerprint,createdcountrycode,ipstate,sst_cd,zip,nsignins,days_lastorder,comp_dayob,capture_date,capture_calendar_week,event_day,event_calendar_week,event_calendar_month,event_calendar_year,event_priority,capture_priority,risk_score,conceded_order_id,conc_amt_usd,max_concession_creation_day,min_concession_creation_day,unique_id,report_generation_date
abc,404-3063766-0353132,834137280712,ARM QUEUING: Please evaluate the accounts  for TT/D25519653,NORMAL,712115121,479.59,PL,PL,,PL,GMAIL.COM,31.182.245.135,P24,147,1,0,3,1,1,,Ivu4PERfsYgRO4964rhBfw==,PL,--,DZKIE,95-100,9,0.0,0.0,2024-11-05 19:04:37.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,7986545cdeed5ec56d60cd65b5ff5945,2024-11-07 00:00:00.000
aba,407-9517766-2571531,802593349012,ARM QUEUING: Please evaluate the accounts for TT/0509798764,NORMAL,328451,1333.05,NL,NL,,NL,GMAIL.COM,2a02:a213:263e:7480:dd21:4a4e:0269:adb6,iDEAL,107,1,0,3,1,1,,Md/3bf2OlLJrAwO7NKwzdQ==,NL,--,,3072TH,4,31.063218,31.063218,2024-11-01 11:46:05.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,82f49234dd434a63210abb24342608ef,2024-11-07 00:00:00.000
abd,114-0844514-8614615,957548095002,ARM QUEUING: Please evaluate the accounts for TT/D113007432,NORMAL,1,1399.0,,US,UA,US,GMAIL.COM,10.90.78.163,CC,421,1,1,1,1,1,CB Privatbank,4Ug0BoH5nxY8C6lnuo+Z2w==,US,--,DE,19711,7,0.0,0.0,2024-10-30 00:21:17.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,f59ef8292552551b508f7f5d0951528e,2024-11-07 00:00:00.000
abb,111-2262255-4165813,948436486402,ARM QUEUING: Please evaluate the accounts for TT/D113007432,NORMAL,1,2988.0,,US,RO,US,GMAIL.COM,10.88.183.255,CC,147,1,1,1,1,2,Revolut,AcdDdP3/2WqOYn3BCVtW8w==,US,--,PA,19104-6190,21,1.275745,6.139599,2024-10-29 22:27:30.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,6c1d069b6de1a77959ced8349e1e88a9,2024-11-07 00:00:00.000
abc,112-8735033-7465858,949770469902,ARM QUEUING: Please evaluate the accounts for TT/D113007432,NORMAL,1,2984.0,,US,DE,US,GMAIL.COM,10.89.120.249,CC,147,1,1,1,1,2,Revolut,M8K6ZNvMQp5s6ZgtPjYp9w==,US,--,PA,19104-6190,24,7.134513,10.898529,2024-10-31 15:33:01.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,683b41f0121d163178302d0326723bea,2024-11-07 00:00:00.000
aba,112-6431991-6045805,935592867802,ARM QUEUING: Please evaluate the accounts for TT/D113007432,NORMAL,1,894.51,US,US,BY,US,OUTLOOK.COM,73.136.231.109,CC,"147,328",1,0,1,1,3,,t6ag+6SLBNPJrsk0K1uh8A==,US,TX,FL,32216-5942,50,6.984618,30.965891,2024-10-29 12:51:01.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,4a58cb9b12acbea36915d874ea8bdbba,2024-11-07 00:00:00.000
abd,402-1635336-5807545,806890659612,ARM QUEUING: Please evaluate the accounts for TT/D114157408,NORMAL,338851,2014.59,TR,TR,TR,TR,GMAIL.COM,46.1.0.78,CC,107,1,0,3,1,1,Garanti Bankası,pokUfX/O0XWmGE3mZ2C0bA==,TR,--,,41250,11,0.0,0.0,2024-11-05 13:25:19.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,90,,,,,79504c96a74956d2c0413cbe628e4082,2024-11-07 00:00:00.000
abb,403-1130463-0688314,828246735212,ARM QUEUING: Please evaluate the accounts for TT/D128736909,NORMAL,35691,1217.44,IT,IT,IT,IT,GMAIL.COM,5.90.204.209,CC,107,1,0,1,1,1,RAIFFEISENBANK,wNlt2z3h+uLsyZeoUJrqqA==,IT,--,MILANO,20062,1,0.0,0.0,2024-10-29 23:04:16.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,86,,,,,5725dd7c1e969178f6aee54a9dfbf127,2024-11-07 00:00:00.000
abc,403-0026635-0153112,808307076412,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,1064.72,IT,IT,IT,IT,GMAIL.COM,93.150.210.117,CC,147,1,1,1,1,1,,hHii0rMmdtE7df75pTQPHQ==,IT,--,,80014,50,3.136794,5.913391,2024-11-04 01:19:20.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,61,,,,,4f1c6f40491c2762227480ee4a4beba4,2024-11-07 00:00:00.000
aba,408-6097592-7618735,832307594912,ARM QUEUING: Please evaluate the accounts for TT/D132244758,NORMAL,35691,261.69,FR,FR,FR,FR,ICLOUD.COM,2001:0861:0d33:57b0:00e5:0a45:e0f3:3977,CC,23,1,0,1,0,1,,goOPOvli9WbPXHbhCdcKXQ==,IT,IDF,,68680,3,0.0,0.0,2024-11-02 23:07:43.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,62,,,,,98d59528870089b9b568ed78894e99a9,2024-11-07 00:00:00.000
abd,702-2088541-4181051,959604973602,ARM QUEUING: Please evaluate the accounts for TT/D130536780/,NORMAL,526970,347.52,BR,,--,BR,GMAIL.COM,45.231.155.56,Pix,147,1,0,2,1,1,,mEM3aKMh8r8AWipdphFlVg==,BR,SP,SP,08142340,14,0.0,0.0,2024-11-01 09:23:27.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,9d31dc147c688422bb3dbd149f64ff3c,2024-11-07 00:00:00.000
abb,408-6097592-7618735,832307594912,ARM QUEUING: Please evaluate the accounts for TT/D132244758,NORMAL,35691,261.69,FR,FR,FR,FR,ICLOUD.COM,2001:0861:0d33:57b0:00e5:0a45:e0f3:3977,CC,23,1,0,1,0,1,,goOPOvli9WbPXHbhCdcKXQ==,IT,IDF,,68680,3,0.0,0.0,2024-11-02 23:07:43.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,62,,,,,98d59528870089b9b568ed78894e99a9,2024-11-07 00:00:00.000
abc,112-2669586-5877837,250682837202,ARM QUEUING: Please evaluate the accounts for TT/D136346236,NORMAL,1,1050.84,,QA,QA,QA,GMAIL.COM,10.160.234.45,CC,75,1,0,2,0,1,,dpgRkK8lw6OgTarVQg9cZQ==,US,--,QATAR,00974,7,0.0,0.0,2024-10-30 15:02:12.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,89,,,,,5597bdd7853df287bca57ee30b1141d9,2024-11-07 00:00:00.000
aba,111-7560204-3704253,6438512005,ARM QUEUING: Please evaluate the accounts for TT/D136346236,NORMAL,1,1792.12,,AU,AU,AU,HOTMAIL.COM,10.89.129.101,CC,147,1,0,2,1,1,Commonwealth Bank of Australia,mLU/LInSyJkxIzEXhDnqpg==,US,--,WA,6109,23,0.0,0.0,2024-11-05 12:47:50.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,90,,,,,49850e8e97ae3882676c9c5a59b589b0,2024-11-07 00:00:00.000
abd,111-5789980-7717063,949155909502,ARM QUEUING: Please evaluate the accounts for TT/D140335240,NORMAL,1,1258.49,UA,UA,UA,US,UKR.NET,31.144.188.193,CC,147,0,0,1,0,1,,E3e7GdbDsGdDm5VK/Mh2bw==,US,KV,NJ,07203-1049,12,3.100521,10.037836,2024-10-29 16:12:05.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,84,,,,,2381d4543d493f416c69eb333315dd7a,2024-11-07 00:00:00.000
abb,111-4283586-4873053,1350488030,ARM QUEUING: Please evaluate the accounts for TT/D163540313,NORMAL,1,1467.97,US,US,RO,US,PROTON.ME,71.220.7.134,CC,107,1,1,4,1,3,TELLER A.S.,mXn2cdJR5t+bk1ETZP27pw==,US,MN,FL,33009-5252,50,0.881944,7295.929155,2024-11-03 22:28:22.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,a285b4fb63643f284db12448050d3956,2024-11-07 00:00:00.000
abc,113-8516270-5993828,208907600,ARM QUEUING: Please evaluate the accounts for TT/D163540313,NORMAL,1,1701.98,US,US,PL,US,HOTMAIL.COM,136.61.51.66,CC,107,1,0,1,1,3,,mxqmk0RIvTFbQMcIPpOubQ==,US,KS,MO,63144-1428,3,8713.371898,8713.371898,2024-10-29 09:02:55.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,90,,,,,10d1a1ed8cd88ba264938cacec0174d2,2024-11-07 00:00:00.000
aba,701-4428865-9672237,961086622102,ARM QUEUING: Please evaluate the accounts for TT/D28547332,NORMAL,771770,207.2,MX,MX,,MX,GMAIL.COM,201.175.242.247,GC,370,1,0,2,1,8,,x9n83p2ZnsB0TMb0xopKkg==,MX,CHH,GUANAJUATO,37210,3,1.937199,1.937199,2024-11-04 04:28:18.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,66,,,,,52bdddf627c87e1685b7d4a5bf8cdd18,2024-11-07 00:00:00.000
abd,702-9965658-3862606,956025061502,ARM QUEUING: Please evaluate the accounts for TT/D56906202,NORMAL,526970,230.12,BR,,--,BR,OUTLOOK.COM,177.26.233.152,Pix,370,1,0,2,1,7,,q5vLROaQ4kmNLoWbidBVbA==,BR,SP,SP,01021000,9,0.0,0.0,2024-10-29 16:19:25.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,8e7c3283afd6c6d1978e37d344a4fc8e,2024-11-07 00:00:00.000
abb,702-5892198-7880246,959402160702,ARM QUEUING: Please evaluate the accounts for TT/D56906202,NORMAL,526970,263.25,BR,,--,BR,GMAIL.COM,91.123.10.97,Pix,370,1,0,2,1,11,,E3e7GdbDsGdDm5VK/Mh2bw==,BR,SP,PB,58078390,2,0.0,0.0,2024-10-31 02:06:38.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,188368c906da65a79c16adb45bfc0332,2024-11-07 00:00:00.000
abc,701-1752134-0614662,961740690302,ARM QUEUING: Please evaluate the accounts for TT/D56906202,NORMAL,526970,309.11,BR,,--,BR,GMAIL.COM,23.129.252.146,Pix,370,1,0,2,1,9,,E3e7GdbDsGdDm5VK/Mh2bw==,BR,SP,RJ,21230190,2,0.0,0.0,2024-11-03 01:54:39.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,262cec804f68c064b97a2d4349464c98,2024-11-07 00:00:00.000
