customer_id,annos,capture_date,rma_creation_date,marketplace_id,abuse_type,order_id,from_broken_glass_mo,order_datetime,condition,ord_tot,bctry_cd,cctry_cd,sctry_cd,ictry_cd,c_emaildomain,paymeth,gls,asins,avs,isfba,hasprime,seg,fastlane,scid,comp_dayob,numitem,fingerprint,vlr,cluster_afn_order_count_03m,cluster_afn_order_count_12m,cluster_afn_order_amount_03m,cluster_afn_order_amount_12m,customer_mfn_order_count_03m,customer_mfn_order_count_12m,customer_mfn_order_amount_03m,customer_mfn_order_amount_12m,customer_mfn_si_12m,customer_mfn_si_03m,cluster_sins_03m,status,unique_id,report_generation_date
8.26314E+11,ARM QUEUING: Please evaluate the accounts for TT/D130584022,10/29/2024 0:00,10/29/2024,5,DNR/FLR,403-3247902-6960348,N,10/28/2024 12:27,4,44.88,FR,FR,FR,FR,OUTLOOK.FR,CC,229,"B0B77D141Z,B0CSB4X9C7",,1,0,3,1,3.06654E+11,2.642361,2,E3e7GdbDsGdDm5VK/Mh2bw==,0,,,,37.29,,,,,0,0,,N,8cbd2184f264face554ba0b18c9f27ca,10/31/2024
8.2817E+11,tt/d131074017,10/28/2024 0:00,10/29/2024,4,N/A,305-5492402-5139556,N,10/28/2024 12:23,4,12.86,DE,DE,DE,DE,WEB.DE,CC,74,B0CD1DB5MM,,1,0,8,1,10,0,1,f/rjvd50vjGcfs2bqJRJZg==,0,,,,72455.23,,,,,0,0,,A,3b7340e0c803433b28765955ff2d5f9c,10/31/2024
8.28287E+11,tt/d131074017,10/28/2024 0:00,10/29/2024,4,N/A,305-7633489-2049123,N,10/28/2024 15:46,4,28.96,DE,DE,DE,DE,WEB.DE,CC,74,B0D69LQ94R,,1,0,8,1,10,0,1,f/rjvd50vjGcfs2bqJRJZg==,0,,,,0,,,,,0,0,,A,4cece3ad3d9141d6a554227be8c27eda,10/31/2024
21600068515,tt/d141997345,10/26/2024 0:00,10/29/2024,7,N/A,701-7685384-9765808,N,10/26/2024 15:04,4,470.47,CA,,CA,US,YOPMAIL.COM,GC,147,B0D3J63BWD,,1,0,4,1,13,3308.006227,1,t8Ifpim4b6kpDx0PMtI6CA==,0,,,,141682.68,,,,286.43,0,0,,N,0c8d19e92add02291cab6e876ce2c5df,10/31/2024
7.16483E+11,tt/d141997345,10/20/2024 0:00,10/29/2024,7,N/A,701-4665604-9333048,N,10/20/2024 13:25,4,56.5,CA,CA,CA,CA,GMAIL.COM,CC,201,B0DBWQ34FG,,1,1,4,1,4.75709E+11,373.9436,1,8ZfQWpC0jMvFhXOWJzi84A==,0,,,,53421.52,,,,233.47,1.248169,0,,N,6e154612a805df33e524dd4901607225,10/31/2024
7.45586E+11,ARM QUEUING: Please evaluate the accounts for TT/D118055978,9/2/2024 0:00,10/29/2024,44571,MDR/FLR,406-1713669-2650730,N,9/2/2024 11:22,4,46039,IN,,IN,IN,GMAIL.COM,UnifiedPaymentsInterface,107,B0CQYNM3ZF,,1,0,1,1,18996301935,0,1,qEF6WnbNqzig4UkXqxL2Tw==,0,0,0,0,,0,0,0,,,,-1,N,dbb09d3ea6e3ea6a599d79e5717af08f,10/31/2024
5.11451E+11,tt/d136736654,10/14/2024 0:00,10/29/2024,623225021,N/A,405-9112343-1606728,N,10/14/2024 23:17,4,2612.66,EG,EG,EG,EG,,CC,"79,193,201","B0171ERCSU,B01G1CDRIC,B07FLKWLCV,B07N7KFHVH,B08H1DCDWB,B08RZ24DX7,B091J3NNVB,B09X97K6GC,B0CV5TXNKK",-1,1,0,3,1,21786786912,0,10,mEM3aKMh8r8AWipdphFlVg==,0,0,0,0,0,0,0,0,0,0,0,,N,17459c796e9859cd714e85d47b9e1d1f,10/31/2024
8.246E+11,ARM QUEUING: Please evaluate the accounts for TT/D130584022,10/26/2024 0:00,10/29/2024,5,DNR/FLR,403-8866379-9772339,N,10/24/2024 22:10,4,18.99,FR,FR,FR,,GMAIL.COM,CC,21,B0DFLHPDNH,,1,1,3,1,7.40588E+11,1.332407,1,/s/dk5gXTy1Z5WxJiOsJyg==,0,,,,3152.01,,,,,0,0,,N,e82958334dcb1693fe1490b4e95927a9,10/31/2024
8.27763E+11,ARM QUEUING: Please evaluate the accounts for TT/D118696556,10/28/2024 0:00,10/29/2024,623225021,DNR,171-9150452-4344363,N,10/27/2024 23:30,4,1217,EG,EG,EG,EG,,CC,193,"B0BBJR7QMJ,B0CJJZNL4F,B0CSXG9L4R",-1,1,0,3,0,53684297112,0,3,lNvDXdwnCKAmZIygZ4uG1Q==,0,0,0,0,0,0,0,0,0,0,0,-1,N,f611c646da079f3babdec0eac72f3b34,10/31/2024
9.56286E+11,tt/d133046258,10/26/2024 0:00,10/29/2024,1,N/A,114-1549446-2931449,N,10/26/2024 17:32,4,82.85,US,US,US,,GMAIL.COM,CC,63,B0CQKLS4RP,I3,1,1,1,1,608808520,0,1,hbMEIY+kTsVLuSRei8lMmA==,0,0,7,0,69.93,0,0,0,0,0,0,-1,N,cf23d1d7ef70b2bf44dc3f226b2996e9,10/31/2024
8.27615E+11,ARM QUEUING: Please evaluate the accounts for TT/P126714332,10/28/2024 0:00,10/29/2024,35691,DNR/MDR,407-4611041-1002712,N,10/28/2024 11:05,4,34.85,IT,PL,IT,PL,WP.PL,CC,364,B0CVXRFT15,,1,1,3,1,755690533,0,1,mXn2cdJR5t+bk1ETZP27pw==,0,,,,0,,,,,0,0,,N,5768f59a0a5778b9b19a85be87c0de2e,10/31/2024
8.28212E+11,tt/d117641081,10/28/2024 0:00,10/29/2024,338801,N/A,408-0539578-5550756,N,10/28/2024 15:35,4,196.48,AE,,AE,AE,,COD,63,B0CM3C9HRG,,1,0,3,1,18034145125,0,1,dbSEfIDqusm4lsntzW2XxQ==,0,0,0,0,0,0,0,0,0,0,0,-1,N,5554e495ff2404c0b5591b805b225b37,10/31/2024
7.47911E+11,ARM QUEUING: Please evaluate the accounts for TT/D124792939,10/26/2024 0:00,10/29/2024,44571,FLR,404-9815166-5097162,N,10/25/2024 16:42,4,1839,IN,,IN,IN,,COD,23,B0B7JXCS4G,,1,0,1,1,4.93644E+11,0,1,,0,,,,,,,,,,,,N,dd5b82b82c17c40abc85f3394889756a,10/31/2024
9.29972E+11,tt/d133046258,9/20/2024 0:00,10/29/2024,1,N/A,113-1602199-4222624,N,9/20/2024 12:18,4,120.58,US,US,US,US,DIGIFORCETECHNOLOGIES.COM,CC,"147,469","B071JYGN8F,B07MSB7Y6L,B0CCY7F9VR",I3,1,0,1,1,12975376315,0,3,K1Mh2YVEfo2WshQfaUv06Q==,0,0,0,0,0,0,0,0,0,0,0,-1,N,426b76797b0671834ff1653ec8135553,10/31/2024
8.27615E+11,ARM QUEUING: Please evaluate the accounts for TT/P126714332,10/28/2024 0:00,10/29/2024,35691,DNR/MDR,407-0446150-2177903,N,10/27/2024 21:06,4,35.99,IT,PL,IT,PL,WP.PL,CC,21,B0CX9387D9,,1,1,3,1,77974777712,0,1,mXn2cdJR5t+bk1ETZP27pw==,0,,,,0,,,,,0,0,,N,931d318d1bb4303cbb4325eaf494d7b8,10/31/2024
2.72122E+11,ARM QUEUING: Please evaluate the accounts for TT/D136736654,10/28/2024 0:00,10/29/2024,623225021,DNR,402-0822382-4722765,N,10/27/2024 13:04,4,1176,EG,,EG,,,COD,23,B07L2YNXSF,-1,0,0,3,0,6.6707E+11,0,1,lNvDXdwnCKAmZIygZ4uG1Q==,0,0,0,0,0,0,0,0,0,0,0,-1,N,34645372879604b5c4263bf520d508fb,10/31/2024
8.01063E+11,tt/d141997345,10/16/2024 0:00,10/29/2024,44551,N/A,171-1992163-1025908,N,10/16/2024 23:14,4,10.9,ES,ES,ES,,,CC,147,B07Z5JD3T4,IU,1,1,3,1,695831032,21.988897,1,0NdakR+Q818QBH9WBuFFhw==,0,,,,172.8,,,,,0,0,,N,7bec8e2219964772ee98d43d99e1647a,10/31/2024
8.25258E+11,ARM QUEUING: Please evaluate the accounts for TT/D130584022,10/26/2024 0:00,10/29/2024,5,DNR/FLR,403-5337448-9987543,N,10/24/2024 17:59,4,71.95,FR,FR,FR,,OUTLOOK.FR,CC,"60,194,364","B08PPPP1RK,B0BSLQVV3X,B0D6R4TSYD,B0DJM46WVL",,1,1,3,1,11,0,4,M8K6ZNvMQp5s6ZgtPjYp9w==,0,,,,0,,,,,0,0,,N,2c705825ae08ca87e3ce331ef8ccaa0f,10/31/2024
8.02643E+11,ARM QUEUING: Please evaluate the accounts for TT/D126666272,9/28/2024 0:00,10/29/2024,44571,FLR,408-0097096-3188336,N,9/27/2024 0:32,4,10039,IN,,IN,IN,,COD,364,B0D3CBCMSK,,1,0,3,1,2.12074E+11,0,1,jXgWqulSfmTPB+xyoko4Dg==,0,0,0,0,,0,0,0,,,,-1,N,5339e1bdd743c283fc2e231076c61c71,10/31/2024
8.11344E+11,tt/d76863282,10/16/2024 0:00,10/29/2024,35691,N/A,406-1858202-4577101,N,10/16/2024 14:53,4,23.99,IT,IT,IT,IT,ICLOUD.COM,CC,193,B09R29N3KB,IU,1,0,3,0,755690533,9.019276,1,nNFikz7BBx3EhSgwi5Zqvg==,0,,,,2996.95,,,,,0,0,,N,3d04bb4bbe3ef081e957a910a6d7bea5,10/31/2024
8.80106E+11,ARM QUEUING: Please evaluate the accounts for TT/D163314714,10/24/2024 0:00,10/29/2024,3,DNR,026-5689347-5111547,N,10/23/2024 13:12,4,52.48,GB,US,GB,US,,CC,60,B0CZNTJH9Z,I3,1,0,3,1,2.62353E+11,0,1,,0,,,,0,,,,,0,0,,N,fc725361c63fe6f6bbbe68a99075c720,10/31/2024
8.1769E+11,ARM QUEUING: Please evaluate the accounts for TT/D25898431 and TT/D22197023,10/16/2024 0:00,10/29/2024,5,DNR,171-9635864-4245952,N,10/14/2024 18:04,4,87.99,FR,FR,FR,FR,GMAIL.COM,CC,107,B0BFFKGXS4,,1,1,1,1,14916128812,0,1,mEM3aKMh8r8AWipdphFlVg==,0,,,,0,,,,,0,0,,N,a1472f5ba9116ac85ab2d30790f3b72c,10/31/2024
8.25582E+11,ARM QUEUING: Please evaluate the accounts for TT/D130584022,10/26/2024 0:00,10/29/2024,5,DNR/FLR,408-6552435-3316323,N,10/24/2024 21:58,4,18.98,FR,FR,FR,FR,,CC,60,B07QXS71HL,,1,0,3,1,26568656012,0,2,+KJM8M4nZ4P0mHj4JEz4mA==,0,,,,0,,,,,0,0,,N,3e47dac9b752fd34cec79f7b7644735d,10/31/2024
8.24765E+11,ARM QUEUING: Please evaluate the accounts for TT/D124792939,10/25/2024 0:00,10/29/2024,44571,FLR,403-3385987-9884341,N,10/23/2024 23:33,4,2189,IN,,IN,IN,,COD,147,B0D2337GQG,,1,0,1,1,4.93644E+11,0,1,sCKhkjXwDhUdM0jKMEYaIQ==,0,,,,,,,,,,,,N,548a01262b299cd051396c5d58c2d427,10/31/2024
5.60506E+11,tt/d141997345,10/15/2024 0:00,10/29/2024,35691,N/A,406-2684155-6308327,N,10/15/2024 19:50,4,11.36,IT,IT,IT,IT,OUTLOOK.IT,"CC,GC",194,B0CQHXCP1X,,1,0,4,1,755690533,326.115116,1,6kOrdVXdfyo9rFFYK5GfjA==,0,,,,2221.1,,,,,0,0,,N,6c68d34a05b9eb6a74f84964dafc06a9,10/31/2024
9.49561E+11,tt/d51010445,10/20/2024 0:00,10/29/2024,1,N/A,114-1699840-5704246,N,10/20/2024 18:25,4,155.13,US,US,US,,GMAIL.COM,CC,"21,121,193,194,325","B072K6B1CN,B07VC3LQCD,B07VC4BQWR,B081RQW4FJ,B08D9TQL68,B08SJLS1N1,B098PVLYP5,B0B583795G,B0BRPYJQP7,B0CCHNX668,B0CTK3DGVN",I3,1,1,51,1,63040686202,3.815478,11,goOPOvli9WbPXHbhCdcKXQ==,0,6,11,482.01,849.08,0,0,0,0,0,0,0,N,bcae13e3cb2cc07ad2960b7eaae5dbf8,10/31/2024
4.28251E+11,ARM QUEUING: Please evaluate the accounts for TT/D120286876,10/27/2024 0:00,10/29/2024,44571,RLR,406-9053463-6730752,N,10/27/2024 13:00,4,643,IN,,IN,IN,NEWSHOP.IN.NET,COD,"194,353","B00GZG6SSG,B0CTF93F55",,1,0,4,1,74054644712,620.650394,3,TIEeeEdL9/vA2/6Zrkfw1Q==,0,,,,,,,,,,,,N,a8f8dd15fdfa32658e5992ce6ffafa12,10/31/2024
8.26682E+11,tt/d131074017,10/26/2024 0:00,10/29/2024,4,N/A,028-4959578-3577108,N,10/26/2024 12:00,4,16.98,DE,DE,DE,DE,GMX.DE,CC,74,B003A2OANS,,1,0,8,1,10,0,1,YRLBTj+m6H7bsuxT6p3ndQ==,0,,,,40148.8,,,,,0,0,,A,e9e13392f493b55b325bd8f0290eb216,10/31/2024
8.28342E+11,ARM QUEUING: Please evaluate the accounts for TT/D130584022,10/30/2024 0:00,10/29/2024,5,DNR/FLR,403-8554796-9530749,N,10/28/2024 16:53,4,9.99,FR,FR,FR,,GMAIL.COM,CC,229,B0BLZF7876,,1,1,3,1,2.10904E+11,0,1,pDXNUlXaxrsVrzJxflv1Ag==,0,,,,0,,,,,0,0,,N,369a34b4f18ac24495098a38eca9d79f,10/31/2024
9.55058E+11,ARM QUEUING: Please evaluate the accounts for TT/D142967885,10/25/2024 0:00,10/29/2024,1,NOTR,113-2676968-7801831,N,10/24/2024 21:34,4,107.74,US,US,US,,,CC,196,B0CPP5L3DP,I3,0,0,7,0,6.42157E+11,0,1,8D+Sw42T0quwYn18ygVlhg==,0,0,0,0,0,0,0,0,0,0,0,-1,N,dddc2373caadd8d48f3ff5bdc6f9f0dd,10/31/2024
8.27615E+11,ARM QUEUING: Please evaluate the accounts for TT/P126714332,10/28/2024 0:00,10/29/2024,35691,DNR/MDR,407-9565349-8785960,N,10/28/2024 10:35,4,37.99,IT,PL,IT,PL,WP.PL,CC,21,B01J41MPF8,,1,1,3,1,755690533,0,1,mXn2cdJR5t+bk1ETZP27pw==,0,,,,0,,,,,0,0,,N,0e1d2d97bc9345cbf6cc51fd74a6fd99,10/31/2024
8.23932E+11,ARM QUEUING: Please evaluate the accounts for TT/D136736654,10/23/2024 0:00,10/29/2024,623225021,DNR,171-4676587-1224338,N,10/22/2024 16:48,4,1199,EG,,EG,EG,,COD,107,B0D1VZL7YZ,-1,1,0,3,0,29082446012,0,1,I+X0UHIFFrKV0i7L/blppA==,0,0,0,0,0,0,0,0,0,0,0,,N,b0813ef87943e018f7b00555fce8c56a,10/31/2024
4.68559E+11,ARM QUEUING: Please evaluate the accounts for TT/D124792939,10/20/2024 0:00,10/29/2024,44571,FLR,408-6422814-6501157,N,10/19/2024 0:13,4,1739,IN,,IN,IN,,COD,23,B0BZ4DJ7GZ,,1,0,1,1,4.93644E+11,0,1,,0,,,,,,,,,,,,N,62cea6474a3c15b113dadd40668515be,10/31/2024
443883906,tt/d51010445,10/18/2024 0:00,10/29/2024,1,N/A,111-1953433-7275452,N,10/18/2024 3:06,4,222.99,US,US,US,US,YAHOO.COM,CC,469,B084D8WF2C,I3,1,0,4,1,6048590,187.47912,1,2TI9LafJoNCCRfIvXp/s1A==,0,3,5,604.9,861.79,4,10,53.68,66.85,0,0,0,N,af5baf988bd324eff6bbc5e61e12303d,10/31/2024
